Recipe_ID,Cuisine
2610,Middle Eastern
2611,Middle Eastern
2612,Middle Eastern
2613,Middle Eastern
2614,Middle Eastern
2615,Middle Eastern
2616,Middle Eastern
2617,Middle Eastern
2618,Middle Eastern
2619,Middle Eastern
2620,Middle Eastern
2621,Middle Eastern
2622,Middle Eastern
2623,Middle Eastern
2624,Middle Eastern
2625,Middle Eastern
2626,Middle Eastern
2627,Middle Eastern
2628,Middle Eastern
2629,Middle Eastern
2630,Middle Eastern
2631,Middle Eastern
2632,Middle Eastern
2633,Middle Eastern
2634,Middle Eastern
2635,Middle Eastern
2636,Middle Eastern
2637,Middle Eastern
2638,Rest Africa
2639,Rest Africa
2640,Rest Africa
2641,Rest Africa
2642,Rest Africa
2643,Rest Africa
2644,Rest Africa
2645,Rest Africa
2646,Rest Africa
2647,Rest Africa
2648,Rest Africa
2649,Rest Africa
2650,Rest Africa
2651,Rest Africa
2652,Rest Africa
2653,Rest Africa
2654,Rest Africa
2655,Rest Africa
2656,Northern Africa
2657,Northern Africa
2658,Northern Africa
2659,Northern Africa
2660,Northern Africa
2661,Northern Africa
2662,Northern Africa
2663,Northern Africa
2664,Northern Africa
2665,Northern Africa
2666,Northern Africa
2667,Northern Africa
2668,Northern Africa
2669,Northern Africa
2670,Northern Africa
2671,Northern Africa
2672,Northern Africa
2673,Northern Africa
2674,Northern Africa
2675,Northern Africa
2676,Northern Africa
2677,Northern Africa
2678,Northern Africa
2679,Northern Africa
2680,Northern Africa
2681,Northern Africa
2682,Northern Africa
2683,Northern Africa
2684,Northern Africa
2685,Northern Africa
2686,Northern Africa
2687,Northern Africa
2688,Northern Africa
2689,Northern Africa
2690,Northern Africa
2691,Northern Africa
2692,Northern Africa
2693,Northern Africa
2694,Northern Africa
2695,Northern Africa
2696,Northern Africa
2697,Northern Africa
2698,Northern Africa
2699,Northern Africa
2700,Northern Africa
2701,Northern Africa
2702,Northern Africa
2703,Northern Africa
2704,Northern Africa
2705,Northern Africa
2706,Rest Africa
2707,Rest Africa
2708,Rest Africa
2709,Rest Africa
2710,Rest Africa
2711,Rest Africa
2712,Rest Africa
2713,Rest Africa
2714,Rest Africa
2715,Rest Africa
2716,Rest Africa
2717,Rest Africa
2718,Rest Africa
2719,Rest Africa
2720,Rest Africa
2721,Rest Africa
2722,Rest Africa
2723,Rest Africa
2724,Rest Africa
2725,Rest Africa
2726,Rest Africa
2727,Rest Africa
2728,Rest Africa
2729,Rest Africa
2730,Rest Africa
2731,Rest Africa
2732,Rest Africa
2733,Rest Africa
2734,Rest Africa
2735,Rest Africa
2736,Rest Africa
2737,Rest Africa
2738,Rest Africa
2739,Rest Africa
2740,Rest Africa
2741,Rest Africa
2742,Rest Africa
2743,Rest Africa
2744,Rest Africa
2745,Rest Africa
2746,Rest Africa
2747,Rest Africa
2748,Rest Africa
2749,Rest Africa
2750,Rest Africa
2751,Rest Africa
2752,Rest Africa
2753,Rest Africa
2754,Rest Africa
2755,Rest Africa
2756,Rest Africa
